# Cargo registry dependency license metadata from crate Cargo.toml
# Format: crate	version	license	license-file	repository	homepage
presser	0.3.1	MIT OR Apache-2.0		https://github.com/EmbarkStudios/presser	https://github.com/EmbarkStudios/presser
prettyplease	0.2.37	MIT OR Apache-2.0		https://github.com/dtolnay/prettyplease	
proc-macro-crate	3.5.0	MIT OR Apache-2.0		https://github.com/bkchr/proc-macro-crate	
proc-macro2	1.0.106	MIT OR Apache-2.0		https://github.com/dtolnay/proc-macro2	
profiling	1.0.17	MIT OR Apache-2.0		https://github.com/aclysma/profiling	https://github.com/aclysma/profiling
profiling-procmacros	1.0.18	MIT OR Apache-2.0		https://github.com/aclysma/profiling	https://github.com/aclysma/profiling
pxfm	0.1.29	BSD-3-Clause OR Apache-2.0		https://github.com/awxkee/pxfm	
qoi	0.4.1	MIT/Apache-2.0		https://github.com/aldanor/qoi-rust	https://github.com/aldanor/qoi-rust
quick-error	2.0.1	MIT/Apache-2.0		http://github.com/tailhook/quick-error	http://github.com/tailhook/quick-error
quick-xml	0.39.4	MIT		https://github.com/tafia/quick-xml	
quinn	0.11.9	MIT OR Apache-2.0		https://github.com/quinn-rs/quinn	
quinn-proto	0.11.14	MIT OR Apache-2.0		https://github.com/quinn-rs/quinn	
quinn-udp	0.5.14	MIT OR Apache-2.0		https://github.com/quinn-rs/quinn	
quote	1.0.45	MIT OR Apache-2.0		https://github.com/dtolnay/quote	
r-efi	5.3.0	MIT OR Apache-2.0 OR LGPL-2.1-or-later		https://github.com/r-efi/r-efi	https://github.com/r-efi/r-efi/wiki
r-efi	6.0.0	MIT OR Apache-2.0 OR LGPL-2.1-or-later		https://github.com/r-efi/r-efi	https://github.com/r-efi/r-efi/wiki
rand	0.9.4	MIT OR Apache-2.0		https://github.com/rust-random/rand	https://rust-random.github.io/book
rand_chacha	0.9.0	MIT OR Apache-2.0		https://github.com/rust-random/rand	https://rust-random.github.io/book
rand_core	0.9.5	MIT OR Apache-2.0		https://github.com/rust-random/rand	https://rust-random.github.io/book
range-alloc	0.1.5	MIT OR Apache-2.0		https://github.com/gfx-rs/range-alloc	https://github.com/gfx-rs/range-alloc
rav1e	0.8.1	BSD-2-Clause		https://github.com/xiph/rav1e/	
ravif	0.13.0	BSD-3-Clause		https://github.com/kornelski/cavif-rs	https://lib.rs/crates/ravif
raw-window-handle	0.6.2	MIT OR Apache-2.0 OR Zlib		https://github.com/rust-windowing/raw-window-handle	
rayon	1.12.0	MIT OR Apache-2.0		https://github.com/rayon-rs/rayon	
rayon-core	1.13.0	MIT OR Apache-2.0		https://github.com/rayon-rs/rayon	
redox_syscall	0.4.1	MIT		https://gitlab.redox-os.org/redox-os/syscall	
redox_syscall	0.5.18	MIT		https://gitlab.redox-os.org/redox-os/syscall	
redox_syscall	0.7.5	MIT		https://gitlab.redox-os.org/redox-os/syscall	
renderdoc-sys	1.1.0	MIT OR Apache-2.0		https://github.com/ebkalderon/renderdoc-rs	https://github.com/ebkalderon/renderdoc-rs/tree/master/renderdoc-sys
reqwest	0.12.28	MIT OR Apache-2.0		https://github.com/seanmonstar/reqwest	
rgb	0.8.53	MIT		https://github.com/kornelski/rust-rgb	https://lib.rs/crates/rgb
ring	0.17.14	Apache-2.0 AND ISC		https://github.com/briansmith/ring	
rustc-hash	1.1.0	Apache-2.0/MIT		https://github.com/rust-lang-nursery/rustc-hash	
rustc-hash	2.1.2	Apache-2.0 OR MIT		https://github.com/rust-lang/rustc-hash	
rustc_version	0.4.1	MIT OR Apache-2.0		https://github.com/djc/rustc-version-rs	
rustix	0.38.44	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT		https://github.com/bytecodealliance/rustix	
rustix	1.1.4	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT		https://github.com/bytecodealliance/rustix	
rustls	0.23.40	Apache-2.0 OR ISC OR MIT		https://github.com/rustls/rustls	https://github.com/rustls/rustls
rustls-pki-types	1.14.1	MIT OR Apache-2.0		https://github.com/rustls/pki-types	https://github.com/rustls/pki-types
rustls-webpki	0.103.13	ISC		https://github.com/rustls/webpki	
rustversion	1.0.22	MIT OR Apache-2.0		https://github.com/dtolnay/rustversion	
ryu	1.0.23	Apache-2.0 OR BSL-1.0		https://github.com/dtolnay/ryu	
same-file	1.0.6	Unlicense/MIT		https://github.com/BurntSushi/same-file	https://github.com/BurntSushi/same-file
scoped-tls	1.0.1	MIT/Apache-2.0		https://github.com/alexcrichton/scoped-tls	https://github.com/alexcrichton/scoped-tls
scopeguard	1.2.0	MIT OR Apache-2.0		https://github.com/bluss/scopeguard	
sctk-adwaita	0.10.1	MIT		https://github.com/PolyMeilex/sctk-adwaita	
semver	1.0.28	MIT OR Apache-2.0		https://github.com/dtolnay/semver	
serde	1.0.228	MIT OR Apache-2.0		https://github.com/serde-rs/serde	https://serde.rs
serde_core	1.0.228	MIT OR Apache-2.0		https://github.com/serde-rs/serde	https://serde.rs
serde_derive	1.0.228	MIT OR Apache-2.0		https://github.com/serde-rs/serde	https://serde.rs
serde_json	1.0.149	MIT OR Apache-2.0		https://github.com/serde-rs/json	
serde_repr	0.1.20	MIT OR Apache-2.0		https://github.com/dtolnay/serde-repr	
serde_spanned	1.1.1	MIT OR Apache-2.0		https://github.com/toml-rs/toml	
serde_urlencoded	0.7.1	MIT/Apache-2.0		https://github.com/nox/serde_urlencoded	
shlex	1.3.0	MIT OR Apache-2.0		https://github.com/comex/rust-shlex	
signal-hook-registry	1.4.8	MIT OR Apache-2.0		https://github.com/vorner/signal-hook	
simd-adler32	0.3.9	MIT		https://github.com/mcountryman/simd-adler32	
simd_cesu8	1.1.1	Apache-2.0 OR MIT		https://github.com/seancroach/simd_cesu8	https://github.com/seancroach/simd_cesu8
simd_helpers	0.1.0	MIT		https://github.com/lu-zero/simd_helpers	
simdutf8	0.1.5	MIT OR Apache-2.0		https://github.com/rusticstuff/simdutf8	https://github.com/rusticstuff/simdutf8
slab	0.4.12	MIT		https://github.com/tokio-rs/slab	
slotmap	1.1.1	Zlib		https://github.com/orlp/slotmap	
smallvec	1.15.1	MIT OR Apache-2.0		https://github.com/servo/rust-smallvec	
smithay-client-toolkit	0.19.2	MIT		https://github.com/smithay/client-toolkit	
smithay-client-toolkit	0.20.0	MIT		https://github.com/smithay/client-toolkit	
smithay-clipboard	0.7.3	MIT		https://github.com/smithay/smithay-clipboard	
smol_str	0.2.2	MIT OR Apache-2.0		https://github.com/rust-analyzer/smol_str	
socket2	0.6.3	MIT OR Apache-2.0		https://github.com/rust-lang/socket2	https://github.com/rust-lang/socket2
spirv	0.3.0+sdk-1.3.268.0	Apache-2.0		https://github.com/gfx-rs/rspirv	
stable_deref_trait	1.2.1	MIT OR Apache-2.0		https://github.com/storyyeller/stable_deref_trait	
static_assertions	1.1.0	MIT OR Apache-2.0		https://github.com/nvzqz/static-assertions-rs	https://github.com/nvzqz/static-assertions-rs
strict-num	0.1.1	MIT		https://github.com/RazrFalcon/strict-num	
subtle	2.6.1	BSD-3-Clause		https://github.com/dalek-cryptography/subtle	https://dalek.rs/
syn	2.0.117	MIT OR Apache-2.0		https://github.com/dtolnay/syn	
sync_wrapper	1.0.2	Apache-2.0		https://github.com/Actyx/sync_wrapper	https://docs.rs/sync_wrapper
synstructure	0.13.2	MIT		https://github.com/mystor/synstructure	
system-deps	7.0.8	MIT OR Apache-2.0		https://github.com/gdesmott/system-deps	
target-lexicon	0.13.3	Apache-2.0 WITH LLVM-exception		https://github.com/bytecodealliance/target-lexicon	
tempfile	3.27.0	MIT OR Apache-2.0		https://github.com/Stebalien/tempfile	https://stebalien.com/projects/tempfile-rs/
termcolor	1.4.1	Unlicense OR MIT		https://github.com/BurntSushi/termcolor	https://github.com/BurntSushi/termcolor
thiserror	1.0.69	MIT OR Apache-2.0		https://github.com/dtolnay/thiserror	
thiserror	2.0.18	MIT OR Apache-2.0		https://github.com/dtolnay/thiserror	
thiserror-impl	1.0.69	MIT OR Apache-2.0		https://github.com/dtolnay/thiserror	
thiserror-impl	2.0.18	MIT OR Apache-2.0		https://github.com/dtolnay/thiserror	
tiff	0.11.3	MIT		https://github.com/image-rs/image-tiff	
tiny-skia	0.11.4	BSD-3-Clause		https://github.com/RazrFalcon/tiny-skia	
tiny-skia-path	0.11.4	BSD-3-Clause		https://github.com/RazrFalcon/tiny-skia/tree/master/path	
tinystr	0.8.3	Unicode-3.0		https://github.com/unicode-org/icu4x	
tinyvec	1.11.0	Zlib OR Apache-2.0 OR MIT		https://github.com/Lokathor/tinyvec	
tinyvec_macros	0.1.1	MIT OR Apache-2.0 OR Zlib		https://github.com/Soveu/tinyvec_macros	
tokio	1.52.3	MIT		https://github.com/tokio-rs/tokio	https://tokio.rs
tokio-rustls	0.26.4	MIT OR Apache-2.0		https://github.com/rustls/tokio-rustls	https://github.com/rustls/tokio-rustls
tokio-util	0.7.18	MIT		https://github.com/tokio-rs/tokio	https://tokio.rs
toml	1.1.2+spec-1.1.0	MIT OR Apache-2.0		https://github.com/toml-rs/toml	
toml_datetime	1.1.1+spec-1.1.0	MIT OR Apache-2.0		https://github.com/toml-rs/toml	
toml_edit	0.25.11+spec-1.1.0	MIT OR Apache-2.0		https://github.com/toml-rs/toml	
toml_parser	1.1.2+spec-1.1.0	MIT OR Apache-2.0		https://github.com/toml-rs/toml	
toml_writer	1.1.1+spec-1.1.0	MIT OR Apache-2.0		https://github.com/toml-rs/toml	
tower	0.5.3	MIT		https://github.com/tower-rs/tower	https://github.com/tower-rs/tower
tower-http	0.6.10	MIT		https://github.com/tower-rs/tower-http	https://github.com/tower-rs/tower-http
tower-layer	0.3.3	MIT		https://github.com/tower-rs/tower	https://github.com/tower-rs/tower
tower-service	0.3.3	MIT		https://github.com/tower-rs/tower	https://github.com/tower-rs/tower
tracing	0.1.44	MIT		https://github.com/tokio-rs/tracing	https://tokio.rs
tracing-attributes	0.1.31	MIT		https://github.com/tokio-rs/tracing	https://tokio.rs
tracing-core	0.1.36	MIT		https://github.com/tokio-rs/tracing	https://tokio.rs
try-lock	0.2.5	MIT		https://github.com/seanmonstar/try-lock	https://github.com/seanmonstar/try-lock
ttf-parser	0.25.1	MIT OR Apache-2.0		https://github.com/harfbuzz/ttf-parser	
type-map	0.5.1	MIT/Apache-2.0		https://github.com/kardeiz/type-map	
uds_windows	1.2.1	MIT		https://github.com/haraldh/rust_uds_windows	
unicode-ident	1.0.24	(MIT OR Apache-2.0) AND Unicode-3.0		https://github.com/dtolnay/unicode-ident	
unicode-segmentation	1.13.2	MIT OR Apache-2.0		https://github.com/unicode-rs/unicode-segmentation	https://github.com/unicode-rs/unicode-segmentation
unicode-width	0.2.2	MIT OR Apache-2.0		https://github.com/unicode-rs/unicode-width	https://github.com/unicode-rs/unicode-width
unicode-xid	0.2.6	MIT OR Apache-2.0		https://github.com/unicode-rs/unicode-xid	https://github.com/unicode-rs/unicode-xid
untrusted	0.9.0	ISC		https://github.com/briansmith/untrusted	
url	2.5.8	MIT OR Apache-2.0		https://github.com/servo/rust-url	
utf8_iter	1.0.4	Apache-2.0 OR MIT		https://github.com/hsivonen/utf8_iter	https://docs.rs/utf8_iter/
uuid	1.23.1	Apache-2.0 OR MIT		https://github.com/uuid-rs/uuid	https://github.com/uuid-rs/uuid
v_frame	0.3.9	BSD-2-Clause		https://github.com/rust-av/v_frame	
version-compare	0.2.1	MIT		https://gitlab.com/timvisee/version-compare	https://timvisee.com/projects/version-compare/
version_check	0.9.5	MIT/Apache-2.0		https://github.com/SergioBenitez/version_check	
walkdir	2.5.0	Unlicense/MIT		https://github.com/BurntSushi/walkdir	https://github.com/BurntSushi/walkdir
want	0.3.1	MIT		https://github.com/seanmonstar/want	
wasi	0.11.1+wasi-snapshot-preview1	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT		https://github.com/bytecodealliance/wasi	
wasip2	1.0.3+wasi-0.2.9	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT		https://github.com/bytecodealliance/wasi-rs	
wasip3	0.4.0+wasi-0.3.0-rc-2026-01-06	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT		https://github.com/bytecodealliance/wasi-rs	
wasm-bindgen	0.2.121	MIT OR Apache-2.0		https://github.com/wasm-bindgen/wasm-bindgen	https://wasm-bindgen.github.io/wasm-bindgen
wasm-bindgen-futures	0.4.71	MIT OR Apache-2.0		https://github.com/wasm-bindgen/wasm-bindgen/tree/master/crates/futures	https://wasm-bindgen.github.io/wasm-bindgen/
wasm-bindgen-macro	0.2.121	MIT OR Apache-2.0		https://github.com/wasm-bindgen/wasm-bindgen/tree/master/crates/macro	https://wasm-bindgen.github.io/wasm-bindgen/
wasm-bindgen-macro-support	0.2.121	MIT OR Apache-2.0		https://github.com/wasm-bindgen/wasm-bindgen/tree/master/crates/macro-support	https://wasm-bindgen.github.io/wasm-bindgen/
wasm-bindgen-shared	0.2.121	MIT OR Apache-2.0		https://github.com/wasm-bindgen/wasm-bindgen/tree/master/crates/shared	https://wasm-bindgen.github.io/wasm-bindgen/
wasm-encoder	0.244.0	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT		https://github.com/bytecodealliance/wasm-tools/tree/main/crates/wasm-encoder	https://github.com/bytecodealliance/wasm-tools/tree/main/crates/wasm-encoder
wasm-metadata	0.244.0	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT		https://github.com/bytecodealliance/wasm-tools/tree/main/crates/wasm-metadata	
wasmparser	0.244.0	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT		https://github.com/bytecodealliance/wasm-tools/tree/main/crates/wasmparser	https://github.com/bytecodealliance/wasm-tools/tree/main/crates/wasmparser
wayland-backend	0.3.15	MIT		https://github.com/smithay/wayland-rs	
wayland-client	0.31.14	MIT		https://github.com/smithay/wayland-rs	
wayland-csd-frame	0.3.0	MIT		https://github.com/rust-windowing/wayland-csd-frame	
wayland-cursor	0.31.14	MIT		https://github.com/smithay/wayland-rs	
wayland-protocols	0.32.12	MIT		https://github.com/smithay/wayland-rs	
wayland-protocols-experimental	20250721.0.1	MIT		https://github.com/smithay/wayland-rs	
wayland-protocols-misc	0.3.12	MIT		https://github.com/smithay/wayland-rs	
wayland-protocols-plasma	0.3.12	MIT		https://github.com/smithay/wayland-rs	
wayland-protocols-wlr	0.3.12	MIT		https://github.com/smithay/wayland-rs	
wayland-scanner	0.31.10	MIT		https://github.com/smithay/wayland-rs	
wayland-sys	0.31.11	MIT		https://github.com/smithay/wayland-rs	
web-sys	0.3.98	MIT OR Apache-2.0		https://github.com/wasm-bindgen/wasm-bindgen/tree/master/crates/web-sys	https://wasm-bindgen.github.io/wasm-bindgen/web-sys/index.html
web-time	1.1.0	MIT OR Apache-2.0		https://github.com/daxpedda/web-time	
webbrowser	1.2.1	MIT OR Apache-2.0		https://github.com/amodm/webbrowser-rs	https://github.com/amodm/webbrowser-rs
webpki-roots	1.0.7	CDLA-Permissive-2.0		https://github.com/rustls/webpki-roots	https://github.com/rustls/webpki-roots
weezl	0.1.12	MIT OR Apache-2.0		https://github.com/image-rs/weezl	
wgpu	27.0.1	MIT OR Apache-2.0		https://github.com/gfx-rs/wgpu	https://wgpu.rs/
wgpu-core	27.0.3	MIT OR Apache-2.0		https://github.com/gfx-rs/wgpu	https://wgpu.rs/
wgpu-core-deps-apple	27.0.0	MIT OR Apache-2.0		https://github.com/gfx-rs/wgpu	https://wgpu.rs/
wgpu-core-deps-emscripten	27.0.0	MIT OR Apache-2.0		https://github.com/gfx-rs/wgpu	https://wgpu.rs/
wgpu-core-deps-windows-linux-android	27.0.0	MIT OR Apache-2.0		https://github.com/gfx-rs/wgpu	https://wgpu.rs/
wgpu-hal	27.0.4	MIT OR Apache-2.0		https://github.com/gfx-rs/wgpu	https://wgpu.rs/
wgpu-types	27.0.1	MIT OR Apache-2.0		https://github.com/gfx-rs/wgpu	https://wgpu.rs/
winapi-util	0.1.11	Unlicense OR MIT		https://github.com/BurntSushi/winapi-util	https://github.com/BurntSushi/winapi-util
windows	0.58.0	MIT OR Apache-2.0		https://github.com/microsoft/windows-rs	
windows	0.61.3	MIT OR Apache-2.0		https://github.com/microsoft/windows-rs	
windows-collections	0.2.0	MIT OR Apache-2.0		https://github.com/microsoft/windows-rs	
windows-core	0.58.0	MIT OR Apache-2.0		https://github.com/microsoft/windows-rs	
windows-core	0.61.2	MIT OR Apache-2.0		https://github.com/microsoft/windows-rs	
windows-future	0.2.1	MIT OR Apache-2.0		https://github.com/microsoft/windows-rs	
windows-implement	0.58.0	MIT OR Apache-2.0		https://github.com/microsoft/windows-rs	
windows-implement	0.60.2	MIT OR Apache-2.0		https://github.com/microsoft/windows-rs	
windows-interface	0.58.0	MIT OR Apache-2.0		https://github.com/microsoft/windows-rs	
windows-interface	0.59.3	MIT OR Apache-2.0		https://github.com/microsoft/windows-rs	
windows-link	0.1.3	MIT OR Apache-2.0		https://github.com/microsoft/windows-rs	
windows-link	0.2.1	MIT OR Apache-2.0		https://github.com/microsoft/windows-rs	
windows-numerics	0.2.0	MIT OR Apache-2.0		https://github.com/microsoft/windows-rs	
windows-result	0.2.0	MIT OR Apache-2.0		https://github.com/microsoft/windows-rs	
windows-result	0.3.4	MIT OR Apache-2.0		https://github.com/microsoft/windows-rs	
windows-strings	0.1.0	MIT OR Apache-2.0		https://github.com/microsoft/windows-rs	
windows-strings	0.4.2	MIT OR Apache-2.0		https://github.com/microsoft/windows-rs	
windows-sys	0.52.0	MIT OR Apache-2.0		https://github.com/microsoft/windows-rs	
windows-sys	0.59.0	MIT OR Apache-2.0		https://github.com/microsoft/windows-rs	
windows-sys	0.60.2	MIT OR Apache-2.0		https://github.com/microsoft/windows-rs	
windows-sys	0.61.2	MIT OR Apache-2.0		https://github.com/microsoft/windows-rs	
windows-targets	0.52.6	MIT OR Apache-2.0		https://github.com/microsoft/windows-rs	
windows-targets	0.53.5	MIT OR Apache-2.0		https://github.com/microsoft/windows-rs	
windows-threading	0.1.0	MIT OR Apache-2.0		https://github.com/microsoft/windows-rs	
windows_aarch64_gnullvm	0.52.6	MIT OR Apache-2.0		https://github.com/microsoft/windows-rs	
windows_aarch64_gnullvm	0.53.1	MIT OR Apache-2.0		https://github.com/microsoft/windows-rs	
windows_aarch64_msvc	0.52.6	MIT OR Apache-2.0		https://github.com/microsoft/windows-rs	
windows_aarch64_msvc	0.53.1	MIT OR Apache-2.0		https://github.com/microsoft/windows-rs	
windows_i686_gnu	0.52.6	MIT OR Apache-2.0		https://github.com/microsoft/windows-rs	
windows_i686_gnu	0.53.1	MIT OR Apache-2.0		https://github.com/microsoft/windows-rs	
windows_i686_gnullvm	0.52.6	MIT OR Apache-2.0		https://github.com/microsoft/windows-rs	
windows_i686_gnullvm	0.53.1	MIT OR Apache-2.0		https://github.com/microsoft/windows-rs	
windows_i686_msvc	0.52.6	MIT OR Apache-2.0		https://github.com/microsoft/windows-rs	
windows_i686_msvc	0.53.1	MIT OR Apache-2.0		https://github.com/microsoft/windows-rs	
windows_x86_64_gnu	0.52.6	MIT OR Apache-2.0		https://github.com/microsoft/windows-rs	
windows_x86_64_gnu	0.53.1	MIT OR Apache-2.0		https://github.com/microsoft/windows-rs	
windows_x86_64_gnullvm	0.52.6	MIT OR Apache-2.0		https://github.com/microsoft/windows-rs	
windows_x86_64_gnullvm	0.53.1	MIT OR Apache-2.0		https://github.com/microsoft/windows-rs	
windows_x86_64_msvc	0.52.6	MIT OR Apache-2.0		https://github.com/microsoft/windows-rs	
windows_x86_64_msvc	0.53.1	MIT OR Apache-2.0		https://github.com/microsoft/windows-rs	
winit	0.30.13	Apache-2.0		https://github.com/rust-windowing/winit	
winnow	1.0.2	MIT		https://github.com/winnow-rs/winnow	
wit-bindgen	0.51.0	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT		https://github.com/bytecodealliance/wit-bindgen	https://github.com/bytecodealliance/wit-bindgen
wit-bindgen	0.57.1	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT		https://github.com/bytecodealliance/wit-bindgen	https://github.com/bytecodealliance/wit-bindgen
wit-bindgen-core	0.51.0	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT		https://github.com/bytecodealliance/wit-bindgen	https://github.com/bytecodealliance/wit-bindgen
wit-bindgen-rust	0.51.0	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT		https://github.com/bytecodealliance/wit-bindgen	https://github.com/bytecodealliance/wit-bindgen
wit-bindgen-rust-macro	0.51.0	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT		https://github.com/bytecodealliance/wit-bindgen	https://github.com/bytecodealliance/wit-bindgen
wit-component	0.244.0	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT		https://github.com/bytecodealliance/wasm-tools/tree/main/crates/wit-component	https://github.com/bytecodealliance/wasm-tools/tree/main/crates/wit-component
wit-parser	0.244.0	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT		https://github.com/bytecodealliance/wasm-tools/tree/main/crates/wit-parser	https://github.com/bytecodealliance/wasm-tools/tree/main/crates/wit-parser
writeable	0.6.3	Unicode-3.0		https://github.com/unicode-org/icu4x	
x11-dl	2.21.0	MIT		https://github.com/AltF02/x11-rs.git	
x11rb	0.13.2	MIT OR Apache-2.0		https://github.com/psychon/x11rb	
x11rb-protocol	0.13.2	MIT OR Apache-2.0		https://github.com/psychon/x11rb	
xcursor	0.3.10	MIT		https://github.com/esposm03/xcursor-rs	
xkbcommon-dl	0.4.2	MIT		https://github.com/rust-windowing/xkbcommon-dl	
xkeysym	0.2.1	MIT OR Apache-2.0 OR Zlib		https://github.com/notgull/xkeysym	
xml-rs	0.8.28	MIT		https://github.com/kornelski/xml-rs	https://lib.rs/crates/xml
y4m	0.8.0	MIT		https://github.com/image-rs/y4m.git	https://github.com/image-rs/y4m
yoke	0.8.2	Unicode-3.0		https://github.com/unicode-org/icu4x	
yoke-derive	0.8.2	Unicode-3.0		https://github.com/unicode-org/icu4x	
zbus	5.15.0	MIT		https://github.com/z-galaxy/zbus/	
zbus-lockstep	0.5.2	MIT		https://github.com/luukvanderduim/zbus-lockstep	
zbus-lockstep-macros	0.5.2	MIT		https://github.com/luukvanderduim/zbus-lockstep	
zbus_macros	5.15.0	MIT		https://github.com/z-galaxy/zbus/	
zbus_names	4.3.2	MIT		https://github.com/z-galaxy/zbus/	
zbus_xml	5.1.1	MIT		https://github.com/z-galaxy/zbus/	
zerocopy	0.8.48	BSD-2-Clause OR Apache-2.0 OR MIT		https://github.com/google/zerocopy	
zerocopy-derive	0.8.48	BSD-2-Clause OR Apache-2.0 OR MIT		https://github.com/google/zerocopy	
zerofrom	0.1.7	Unicode-3.0		https://github.com/unicode-org/icu4x	
zerofrom-derive	0.1.7	Unicode-3.0		https://github.com/unicode-org/icu4x	
zeroize	1.8.2	Apache-2.0 OR MIT		https://github.com/RustCrypto/utils	https://github.com/RustCrypto/utils/tree/master/zeroize
zerotrie	0.2.4	Unicode-3.0		https://github.com/unicode-org/icu4x	https://icu4x.unicode.org
zerovec	0.11.6	Unicode-3.0		https://github.com/unicode-org/icu4x	
zerovec-derive	0.11.3	Unicode-3.0		https://github.com/unicode-org/icu4x	
zmij	1.0.21	MIT		https://github.com/dtolnay/zmij	
zune-core	0.5.1	MIT OR Apache-2.0 OR Zlib		https://github.com/etemesi254/zune-image	
zune-inflate	0.2.54	MIT OR Apache-2.0 OR Zlib			https://github.com/etemesi254/zune-image/tree/main/zune-inflate
zune-jpeg	0.5.15	MIT OR Apache-2.0 OR Zlib		https://github.com/etemesi254/zune-image/tree/dev/crates/zune-jpeg	
zvariant	5.11.0	MIT		https://github.com/z-galaxy/zbus/	
zvariant_derive	5.11.0	MIT		https://github.com/z-galaxy/zbus/	
zvariant_utils	3.3.1	MIT		https://github.com/z-galaxy/zbus/	
